NDB_No,Shrt_Desc,Water,Energ_Kcal,Protein,Lipid_Tot,Ash,Carbohydrt,Fiber_TD,Sugar_Tot,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,ZInc,Copper,Manganese,Selenium,Vit_C,Thiamin,Ribolfavin,Niacin,Panto_Acid,Vit_B6,Folate_Tot,Folic_Acid,Food_Folate,Folate_DFE,Choline_Tot,Vit_B12,Vit_A_IU,Vit_A_RAE,Retinol,Alpha_Carot,Beta_Carot,Beta_Crypt,Lycopene,Lut+Zea,Vit_E,Vit_K,FA_SAt,FA_Mono,FA_Poly,Cholestrl,GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
1001,"BUTTER,WITH SALT",15.87,717,0.85,81.11,2.11,0.06,0.0,0.059999999,24,0.02,2.0,24,24,576,0.09,0.0,0.0,1.0,0.0,0.005,0.034,0.042,0.11,0.003,3.0,0.0,3.0,3.0,19.0,0.17,2499,684.0,671.0,0.0,158.0,0.0,0.0,0.0,2.32,7.0,51.368,21.021,3.043,215,227.0,1 cup,14.0,1 tbsp,0
1002,"BUTTER,WHIPPED,WITH SALT",15.87,717,0.85,81.11,2.11,0.06,0.0,0.059999999,24,0.16,2.0,23,26,827,0.05,0.016,0.004,1.0,0.0,0.005,0.034,0.042,0.11,0.003,3.0,0.0,3.0,3.0,19.0,0.13,2499,684.0,671.0,0.0,158.0,0.0,0.0,0.0,2.32,7.0,50.489,23.426,3.012,219,151.0,1 cup,9.0,1 tbsp,0
1004,"CHEESE,BLUE",42.41,353,21.4,28.74,5.11,2.34,0.0,0.5,528,0.31,23.0,387,256,1395,2.66,0.04,0.009,14.5,0.0,0.029,0.382,1.016,1.729,0.166,36.0,0.0,36.0,36.0,15.0,1.22,763,198.0,192.0,0.0,74.0,0.0,0.0,0.0,0.25,2.4,18.669,7.778,0.8,75,28.35,1 oz,17.0,1 cubic inch,0
1005,"CHEESE,BRICK",41.11,371,23.24,29.68,3.18,2.79,0.0,0.50999999,674,0.43,24.0,451,136,560,2.6,0.024,0.012,14.5,0.0,0.014,0.351,0.118,0.288,0.065,20.0,0.0,20.0,20.0,15.0,1.26,1080,292.0,286.0,0.0,76.0,0.0,0.0,0.0,0.26,2.5,18.764,8.598,0.784,94,132.0,"1 cup, diced",113.0,"1 cup, shredded",0
1006,"CHEESE,BRIE",48.42,334,20.75,27.68,2.7,0.45,0.0,0.449999988,184,0.5,20.0,188,152,629,2.38,0.019,0.034,14.5,0.0,0.07,0.52,0.38,0.69,0.235,65.0,0.0,65.0,65.0,15.0,1.65,592,174.0,173.0,0.0,9.0,0.0,0.0,0.0,0.24,2.3,17.41,8.013,0.826,100,240.0,"1 cup, melted",144.0,"1 cup, sliced",0
1007,"CHEESE,CAMEMBERT",51.8,300,19.8,24.26,3.68,0.46,0.0,0.460000008,388,0.33,20.0,347,187,842,2.38,0.021,0.038,14.5,0.0,0.028,0.488,0.63,1.364,0.227,62.0,0.0,62.0,62.0,15.0,1.3,820,241.0,240.0,0.0,12.0,0.0,0.0,0.0,0.21,2.0,15.259,7.023,0.724,72,246.0,1 cup,28.0,1 oz,0
1008,"CHEESE,CARAWAY",39.28,376,25.18,29.2,3.28,3.06,0.0,3.5499999525,673,0.64,22.0,490,93,690,2.94,0.024,0.021,14.5,0.0,0.031,0.45,0.18,0.19,0.074,18.0,0.0,18.0,18.0,16.0,0.27,1054,271.0,262.0,0.0,13.0,0.0,0.0,0.0,0.23,1.1,18.584,8.275,0.83,93,28.35,1 oz,32.0,Unknown,0
1009,"CHEESE,CHEDDAR",36.75,403,24.9,33.14,3.93,1.28,0.0,0.519999981,721,0.68,28.0,512,98,621,3.11,0.031,0.01,13.9,0.0,0.027,0.375,0.08,0.413,0.074,18.0,0.0,18.0,18.0,16.0,0.83,1002,265.0,258.0,0.0,85.0,0.0,0.0,0.0,0.29,2.8,21.092,9.391,0.942,105,132.0,"1 cup, diced",244.0,"1 cup, melted",0
1010,"CHEESE,CHESHIRE",37.65,387,23.37,30.6,3.6,4.78,0.0,3.5499999525,643,0.21,21.0,464,95,700,2.79,0.042,0.012,14.5,0.0,0.046,0.293,0.08,0.413,0.074,18.0,0.0,18.0,18.0,16.0,0.83,985,233.0,220.0,0.0,13.0,0.0,0.0,0.0,0.23,1.1,19.475,8.671,0.87,103,28.35,1 oz,32.0,Unknown,0
1011,"CHEESE,COLBY",38.2,394,23.76,32.11,3.36,2.57,0.0,0.519999981,685,0.76,26.0,457,127,604,3.07,0.042,0.012,14.5,0.0,0.015,0.375,0.093,0.21,0.079,18.0,0.0,18.0,18.0,15.0,0.83,994,264.0,257.0,0.0,82.0,0.0,0.0,0.0,0.28,2.7,20.218,9.28,0.953,95,132.0,"1 cup, diced",113.0,"1 cup, shredded",0
